verb,definition,root,present_1,present_2,present_3,present_4,present_5,present_6,presentNegative_1,presentNegative_2,presentNegative_3,presentNegative_4,presentNegative_5,presentNegative_6,past_1,past_2,past_3,past_4,past_5,past_6,future_1,future_2,future_3,future_4,future_5,future_6
kirin,"etmek, yapmak",,dikim,dikî,dike,dikin,dikin,dikin,nakim,nakî,nake,nakin,nakin,nakin,,,,,,,,,,,,
kirîn,satın almak,,dikirim,dikirî,dikire,dikirin,dikirin,dikirin,nakirim,nakirî,nakire,nakirin,nakirin,nakirin,,,,,,,,,,,,
kişandin,sigara içmek,,,,,,,,,,,,,,,,,,,,,,,,,
kontrol kirin,kontrol etmek,,kontrol dikim,kontrol dikî,kontrol dike,kontrol dikin,kontrol dikin,kontrol dikin,kontrol nakim,kontrol nakî,kontrol nake,kontrol nakin,kontrol nakin,kontrol nakin,,,,,,,,,,,,
kuştin,öldürmek,,,,,,,,,,,,,,,,,,,,,,,,,
lê gerîn,aramak,,,,,,,,,,,,,,,,,,,,,,,,,
lêborîn kxwestin,özür dilemek,,,,,,,,,,,,,,,,,,,,,,,,,
lêdan,çalmak (müzik),,,,,,,,,,,,,,,,,,,,,,,,,
lêkolîn kirin,araştırmak,,lêkolîn dikim,lêkolîn dikî,lêkolîn dike,lêkolîn dikin,lêkolîn dikin,lêkolîn dikin,lêkolîn nakim,lêkolîn nakî,lêkolîn nake,lêkolîn nakin,lêkolîn nakin,lêkolîn nakin,,,,,,,,,,,,
lêxistin,vurmak,,,,,,,,,,,,,,,,,,,,,,,,,
lez kirin,acele etmek,,lez dikim,lez dikî,lez dike,lez dikin,lez dikin,lez dikin,lez nakim,lez nakî,lez nake,lez nakin,lez nakin,lez nakin,,,,,,,,,,,,
li hev hatin,anlaşmak,,,,,,,,,,,,,,,,,,,,,,,,,
li ser pîyan sekinîn,ayakta durmak,,,,,,,,,,,,,,,,,,,,,,,,,
li xwe kirin,giymek,,li xwe dikim,li xwe dikî,li xwe dike,li xwe dikin,li xwe dikin,li xwe dikin,li xwe nakim,li xwe nakî,li xwe nake,li xwe nakin,li xwe nakin,li xwe nakin,,,,,,,,,,,,
li xweşe çûn,hoşlanmak,,,,,,,,,,,,,,,,,,,,,,,,,
lîstin,oynamak,,dilîzim,dilîzî,dilîze,dilîzin,dilîzin,dilîzin,nalîzim,nalîzî,nalîze,nalîzin,nalîzin,nalîzin,,,,,,,,,,,,
maç kirin,öpmek,,maç dikim,maç dikî,maç dike,maç dikin,maç dikin,maç dikin,maç nakim,maç nakî,maç nake,maç nakin,maç nakin,maç nakin,,,,,,,,,,,,
mayîn,kalmak (otel),,,,,,,,,,,,,,,,,,,,,,,,,
meqyaj kirin,makyaj yapmak,,meqyaj dikim,meqyaj dikî,meqyaj dike,meqyaj dikin,meqyaj dikin,meqyaj dikin,meqyaj nakim,meqyaj nakî,meqyaj nake,meqyaj nakin,meqyaj nakin,meqyaj nakin,,,,,,,,,,,,
meraq kirin,merak etmek,,meraq dikim,meraq dikî,meraq dike,meraq dikin,meraq dikin,meraq dikin,meraq nakim,meraq nakî,meraq nake,meraq nakin,meraq nakin,meraq nakin,,,,,,,,,,,,
meşîn,yürümek,,dimeşim,dimesî,dimese,dimesin,dimesin,dimesin,namesim,nameşi,namese,namesin,namesin,namesin,,,,,,,,,,,,
mezin bûn,büyümek,,mezin dibim,mezin dibî,mezin dibe,mezin dibin,mezin dibin,mezin dibin,mezin nabim,mezin nabî,mezin nabe,mezin nabin,mezin nabin,mezin nabin,,,,,,,,,,,,
mirin,ölmek,,dimirim,dimirî,dimire,dimirin,dimirin,dimirin,namirim,namirî,namire,namirin,namirin,namirin,,,,,,,,,,,,
nas kirin,tanımak,,nas dikim,nas dikî,nas dike,nas dikin,nas dikin,nas dikin,nas nakim,nas nakî,nas nake,nas nakin,nas nakin,nas nakin,,,,,,,,,,,,
navîş kirin,imzalamak,,navîş dikim,navîş dikî,navîş dike,navîş dikin,navîş dikin,navîş dikin,navîş nakim,navîş nakî,navîş nake,navîş nakin,navîş nakin,navîş nakin,,,,,,,,,,,,
nerehet kirin,rahatsız etmek,,nerehet dikim,nerehet dikî,nerehet dike,nerehet dikin,nerehet dikin,nerehet dikin,nerehet nakim,nerehet nakî,nerehet nake,nerehet nakin,nerehet nakin,nerehet nakin,,,,,,,,,,,,
nîgaş kirin,tartışmak,,nîgaş dikim,nîgaş dikî,nîgaş dike,nîgaş dikin,nîgaş dikin,nîgaş dikin,nîgaş nakim,nîgaş nakî,nîgaş nake,nîgaş nakin,nîgaş nakin,nîgaş nakin,,,,,,,,,,,,
nîşan dan,göstermek,,nîşan didim,nîşan didî,nîşan dide,nîşan didin,nîşan didin,nîşan didin,nîşan nadim,nîşan nadî,nîşan nade,nîşan nadin,nîşan nadin,nîşan nadin,,,,,,,,,,,,
nîşan kirin,işaret etmek,,nîşan dikim,nîşan dikî,nîşan dike,nîşan dikin,nîşan dikin,nîşan dikin,nîşan nakim,nîşan nakî,nîşan nake,nîşan nakin,nîşan nakin,nîşan nakin,,,,,,,,,,,,
